title,description,publishedDate,publishedText,videoId,videoUrl,channelName,channelId,channelUrl,thumbnails,views,viewsText,duration,durationText,verified,creatorOnRise,isShort
Hanumankind – Big Dawgs | Ft. Kalmi (Official Music Video) | Def Jam India,"Pushing culture baby, got that product you can’t measure. 
 
Big Dawgs out on all platforms. 
 
Credits - 
 
Music by Hanumankind
Written by Hanumankind
Producer - Kalmi 
Mixing and Mastering...",2024-08-13T19:59:02.809Z,1 month ago,hOHKltAiKXQ,https://youtube.com/watch?v=hOHKltAiKXQ,Hanumankind,UCa4FC6a-6g7i0arN__K1W6A,https://youtube.com/channel/UCa4FC6a-6g7i0arN__K1W6A,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/hOHKltAiKXQ/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/hOHKltAiKXQ/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/hOHKltAiKXQ/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/hOHKltAiKXQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/hOHKltAiKXQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/hOHKltAiKXQ/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/hOHKltAiKXQ/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/hOHKltAiKXQ/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/hOHKltAiKXQ/3.jpg', 'width': 120, 'height': 90}]",44340998,"44,340,998 views",235,3:55,True,False,False
Our Son's EPIC 14th Birthday Surprise,"Our Son's EPIC 14th Birthday Surprise
𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 HERE 👉 @royaltyfam 
𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 To Gaming Channel 👉 ​⁠ @RoyaltyGaming1 
Thank you...",2024-08-13T17:36:02.809Z,1 day ago,XuNqMOGENZk,https://youtube.com/watch?v=XuNqMOGENZk,The Royalty Family,UCja7QUMRG9AD8X2F_vXFb9A,https://youtube.com/@royaltyfam,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/XuNqMOGENZk/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/XuNqMOGENZk/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/XuNqMOGENZk/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/XuNqMOGENZk/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/XuNqMOGENZk/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/XuNqMOGENZk/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/XuNqMOGENZk/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/XuNqMOGENZk/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/XuNqMOGENZk/3.jpg', 'width': 120, 'height': 90}]",4907398,"4,907,398 views",1984,33:04,True,False,False
I Played Fortnite Chapter 2,"Going back to Fortnite Chapter 2 was very nostalgic :)
🎥SECOND CHANNEL - https://www.youtube.com/user/CrushSlash
🐤TWITTER - https://twitter.com/lazarbeam
📷INSTAGRAM - https://instagram.com...",2024-08-13T18:00:02.809Z,20 hours ago,Iz3QFJtQPkU,https://youtube.com/watch?v=Iz3QFJtQPkU,LazarBeam,UCw1SQ6QRRtfAhrN_cjkrOgA,https://youtube.com/@LazarBeam,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/Iz3QFJtQPkU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/Iz3QFJtQPkU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/Iz3QFJtQPkU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/Iz3QFJtQPkU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/Iz3QFJtQPkU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/Iz3QFJtQPkU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/Iz3QFJtQPkU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/Iz3QFJtQPkU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/Iz3QFJtQPkU/3.jpg', 'width': 120, 'height': 90}]",2118162,"2,118,162 views",749,12:29,True,False,False
I Built a Trampoline Park in My House!,"We built a trampoline park, a water park, and a theme park all in my house! Who do you think won?

Subscribe below! 
STAY WILD @BenAzelart 
CAM HUFF @CamHuff 
JORDAN MATTER @jordanmatter 
ROYALTY...",2024-08-13T17:36:02.809Z,1 day ago,2lBkf3RupBQ,https://youtube.com/watch?v=2lBkf3RupBQ,Ben Azelart,UCwVg9btOceLQuNCdoQk9CXg,https://youtube.com/@BenAzelart,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/2lBkf3RupBQ/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/2lBkf3RupBQ/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/2lBkf3RupBQ/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/2lBkf3RupBQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/2lBkf3RupBQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/2lBkf3RupBQ/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/2lBkf3RupBQ/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/2lBkf3RupBQ/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/2lBkf3RupBQ/3.jpg', 'width': 120, 'height': 90}]",9024094,"9,024,094 views",1790,29:50,True,False,False
Live stream for Elon Musk-Donald Trump interview crashes,"The live-streamed interview between Elon Musk and Donald Trump crashed on X.

Subscribe to FOX 11 on YouTube: https://www.youtube.com/channel/UCHfF8wFnipMeDpJf8OmMxDg

Watch more FOX 11 on...",2024-08-13T18:06:02.809Z,19 hours ago,7OOUeucqajU,https://youtube.com/watch?v=7OOUeucqajU,FOX 11 Los Angeles,UCHfF8wFnipMeDpJf8OmMxDg,https://youtube.com/@Foxla,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/7OOUeucqajU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/7OOUeucqajU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/7OOUeucqajU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/7OOUeucqajU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/7OOUeucqajU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/7OOUeucqajU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/7OOUeucqajU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/7OOUeucqajU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/7OOUeucqajU/3.jpg', 'width': 120, 'height': 90}]",536365,"536,365 views",90,1:30,True,False,False
we broke up…,"I love you guys! ❤️ 

Business inquiries 💌: 
evelynortizmgmt@gmail.com

Instagram 
 https://www.instagram.com/evelynomadera/?igshid=OGQ5ZDc2ODk2ZA%3D%3D 

TikTok 
 https://www.tiktok.com/@ev...",2024-08-13T18:12:02.809Z,18 hours ago,lC2sgsMQHzU,https://youtube.com/watch?v=lC2sgsMQHzU,Evelyn Ortiz,UCr4gjUs05db8nfekpUIMeSA,https://youtube.com/@evelynomadera,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/lC2sgsMQHzU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/lC2sgsMQHzU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/lC2sgsMQHzU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/lC2sgsMQHzU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/lC2sgsMQHzU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/lC2sgsMQHzU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/lC2sgsMQHzU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/lC2sgsMQHzU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/lC2sgsMQHzU/3.jpg', 'width': 120, 'height': 90}]",215173,"215,173 views",1640,27:20,False,False,False
Sean Evans Eats His Last Meal,"Today, Sean Evans eats his last meal. 

Subscribe to Mythical Kitchen: https://www.youtube.com/mythicalkitchen?sub_confirmation=1

Submit your Dreams Become Food photos here: https://forms.gle/cBop...",2024-08-13T19:06:02.809Z,9 hours ago,ZgLs4fDr8aI,https://youtube.com/watch?v=ZgLs4fDr8aI,Mythical Kitchen,UCXGR70CkW_pXb8n52LzCCRw,https://youtube.com/@mythicalkitchen,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/ZgLs4fDr8aI/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/ZgLs4fDr8aI/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/ZgLs4fDr8aI/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/ZgLs4fDr8aI/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/ZgLs4fDr8aI/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/ZgLs4fDr8aI/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/ZgLs4fDr8aI/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/ZgLs4fDr8aI/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/ZgLs4fDr8aI/3.jpg', 'width': 120, 'height': 90}]",313025,"313,025 views",2778,46:18,True,False,False
Half in the Bag: Borderlands,"Eli Roth made a boom boom. Mike and Jay talks about Borderlands. What a misfire! Odd casting choices. No one want to make. Adult professionals pretend to ""care"" about characters in video game...",2024-08-13T17:36:02.809Z,1 day ago,WesiLHmV-ns,https://youtube.com/watch?v=WesiLHmV-ns,RedLetterMedia,UCrTNhL_yO3tPTdQ5XgmmWjA,https://youtube.com/@RedLetterMedia,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/WesiLHmV-ns/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/WesiLHmV-ns/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/WesiLHmV-ns/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/WesiLHmV-ns/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/WesiLHmV-ns/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/WesiLHmV-ns/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/WesiLHmV-ns/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/WesiLHmV-ns/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/WesiLHmV-ns/3.jpg', 'width': 120, 'height': 90}]",743478,"743,478 views",2377,39:37,True,False,False
Verifying claims from Donald Trump about Kamala Harris's Michigan crowd size,"Despite various claims that photos from the Vice President's rally were fake, there is no evidence to back the validity of these claims.",2024-08-13T17:54:02.809Z,21 hours ago,9QQTQuBtxKg,https://youtube.com/watch?v=9QQTQuBtxKg,WBIR Channel 10,UCsefBCbI7P5Xr-edSOpbF4A,https://youtube.com/@WBIR10,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/9QQTQuBtxKg/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/9QQTQuBtxKg/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/9QQTQuBtxKg/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/9QQTQuBtxKg/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/9QQTQuBtxKg/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/9QQTQuBtxKg/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/9QQTQuBtxKg/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/9QQTQuBtxKg/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/9QQTQuBtxKg/3.jpg', 'width': 120, 'height': 90}]",178828,"178,828 views",107,1:47,True,False,False
"Rhea Ripley, Liv Morgan, Dominik Mysterio Talk Things Out | WWE Raw Highlights 8/12/24 | WWE on USA","Looks like things aren't quite patched up yet. WWE Raw Highlights 8/12/24. Watch WWE Raw Monday nights at 8/7c on USA Network. WWE now streaming on Peacock.    

►► SUBSCRIBE: https://usanet.tv...",2024-08-13T18:06:02.809Z,19 hours ago,-_YBRPAjkyk,https://youtube.com/watch?v=-_YBRPAjkyk,WWE on USA,UCSy3TvvwAV12MD0rLsHyClQ,https://youtube.com/@WWEonUSA,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/-_YBRPAjkyk/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/-_YBRPAjkyk/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/-_YBRPAjkyk/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/-_YBRPAjkyk/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/-_YBRPAjkyk/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/-_YBRPAjkyk/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/-_YBRPAjkyk/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/-_YBRPAjkyk/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/-_YBRPAjkyk/3.jpg', 'width': 120, 'height': 90}]",685075,"685,075 views",524,8:44,True,False,False
