day,hour,n,median_logv,approx_median_views
Thursday,15,81.0,13.48621451079203,719429
Saturday,15,67.0,13.473622884297784,710427
Friday,16,436.0,13.44370618260443,689488
Sunday,15,72.0,13.36351634661149,636357
Friday,15,220.0,13.119211497108662,498426
Saturday,16,160.0,13.088398930279991,483302
Tuesday,16,229.0,13.017989041977554,450443
Tuesday,15,94.0,12.953638466959408,422370
Friday,13,21.0,12.870110222943554,388523
Thursday,16,213.0,12.845932439558565,379242
Sunday,16,150.0,12.798272851332245,361591
Monday,15,116.0,12.694595794041684,325980
Wednesday,16,238.0,12.693863924976613,325742
Monday,16,204.0,12.509300955272776,270844
Thursday,13,29.0,12.486239045940291,264669
