day,hour,n,median_logv,approx_median_views
Friday,6,20.0,15.009785173658878,3301161
Sunday,6,20.0,14.910975636449724,2990572
Thursday,6,23.0,14.721917000804453,2475410
Saturday,18,25.0,14.656891519407285,2319567
Tuesday,6,26.0,14.396536148811768,1787870
Saturday,20,28.0,14.127074462049144,1365558
Saturday,23,22.0,14.04566994206734,1258800
Thursday,1,20.0,13.998507977170675,1200810
Saturday,15,309.0,13.850438416140557,1035544
Monday,23,21.0,13.825966701466712,1010510
Wednesday,20,21.0,13.801455243181527,986042
Sunday,17,33.0,13.773898668225582,959241
Sunday,8,24.0,13.72566736313453,914074
Saturday,16,579.0,13.708558776914956,898568
Tuesday,0,25.0,13.665830038731784,860982
