day,hour,n,median_logv,approx_median_views
Thursday,15,88.0,13.333948119468833,617816
Saturday,15,76.0,13.279903188535876,585313
Sunday,15,82.0,13.21852803892132,550469
Saturday,16,175.0,12.984204149995117,435479
Friday,16,524.0,12.982686920135261,434819
Tuesday,16,238.0,12.9594597829947,424836
Friday,13,21.0,12.870110222943554,388523
Friday,15,274.0,12.818967960248937,369153
Tuesday,15,103.0,12.7997916790854,362141
Thursday,16,223.0,12.75038043304102,344682
Sunday,16,176.0,12.638123524378033,308082
Thursday,13,30.0,12.478638208978822,262665
Saturday,13,23.0,12.469036730069632,260155
Friday,0,22.0,12.450015613435859,255253
Wednesday,16,287.0,12.35156595826625,231321
